28: $GPGSV,3,3,12,22,01,091,,23,23,214,27,31,32,103,31,32,78,084,29*7B
29: $GPGSV,3,1,12,01,72,201,20,03,59,272,37,04,47,159,35,11,47,194,31*70
29: $GPGSV,3,2,12,12,05,016,,14,24,051,29,17,29,305,33,19,29,226,22*78
29: $GPGSV,3,3,12,22,01,091,,23,23,214,25,31,32,103,33,32,78,084,29*7B
30: $GPGSV,3,1,12,01,72,201,20,03,59,272,37,04,47,159,34,11,47,194,31*71
30: $GPGSV,3,2,12,12,05,016,25,14,24,051,40,17,29,305,33,19,29,226,21*73
30: $GPGSV,3,3,12,22,01,091,,23,23,214,23,31,32,103,38,32,78,084,29*76
30: $GPGSV,3,1,12,01,72,201,19,03,59,272,38,04,47,159,34,11,47,194,32*77
31: $GPGSV,3,2,12,12,05,016,26,14,24,051,23,17,29,305,33,19,29,226,20*74
31: $GPGSV,3,3,12,22,01,091,,23,23,214,22,31,32,103,32,32,78,084,29*7D
31: $GPGSV,3,1,12,01,72,201,22,03,59,272,38,04,47,159,33,11,47,194,32*78
32: $GPGSV,3,2,12,12,05,016,23,14,24,051,34,17,29,305,33,19,29,226,33*75
32: $GPGSV,3,3,12,22,01,091,,23,23,214,22,31,32,103,26,32,78,084,29*78
32: $GPGSV,3,1,12,01,72,201,21,03,59,272,38,04,47,159,33,11,47,194,33*7A
32: $GPGSV,3,2,12,12,05,016,21,14,24,051,31,17,29,305,30,19,29,226,28*7B
33: $GPGSV,3,3,12,22,01,091,,23,23,214,22,31,32,103,32,32,78,084,29*7D
33: $GPGSV,3,1,12,01,72,201,21,03,59,272,38,04,47,159,31,11,47,194,31*7A
33: $GPGSV,3,2,12,12,05,016,19,14,24,051,32,17,29,305,30,19,29,226,32*78
34: $GPGSV,3,3,12,22,01,091,,23,23,214,22,31,32,103,31,32,78,084,28*7F
34: $GPGSV,3,1,12,01,72,201,21,03,59,272,38,04,47,159,31,11,47,194,34*7F
34: $GPGSV,3,2,12,12,05,016,19,14,24,051,33,17,29,305,34,19,29,226,32*7D
34: $GPGSV,3,3,12,22,01,091,,23,23,214,22,31,32,103,31,32,78,084,29*7E
35: $GPGSV,3,1,12,01,72,201,21,03,59,272,38,04,47,159,32,11,47,194,30*78
35: $GPGSV,3,2,12,12,05,016,20,14,24,051,34,17,29,305,34,19,29,226,32*70
35: $GPGSV,3,3,12,22,01,091,,23,23,214,23,31,32,103,32,32,78,084,29*7C
36: $GPGSV,3,1,12,01,72,201,21,03,59,272,38,04,47,159,32,11,47,194,29*70
36: $GPGSV,3,2,12,12,05,016,22,14,24,051,33,17,29,305,30,19,29,226,32*71
36: $GPGSV,3,3,12,22,01,091,,23,23,214,25,31,32,103,32,32,78,084,29*7A
37: $GPGSV,3,1,12,01,72,201,19,03,59,272,38,04,47,159,32,11,47,194,30*73
