239: $GPVTG,,T,,M,0.453,N,0.839,K,A*23
241: $GPVTG,,T,,M,1.600,N,2.963,K,A*2A
243: $GPVTG,,T,,M,1.083,N,2.006,K,A*2D
245: $GPVTG,,T,,M,0.642,N,1.189,K,A*22
247: $GPVTG,,T,,M,1.304,N,2.414,K,A*26
249: $GPVTG,205.09,T,,M,1.662,N,3.079,K,A*3D
251: $GPVTG,,T,,M,1.912,N,3.542,K,A*28
253: $GPVTG,,T,,M,0.902,N,1.670,K,A*28
255: $GPVTG,,T,,M,0.871,N,1.613,K,A*28
257: $GPVTG,203.65,T,,M,1.633,N,3.025,K,A*3C
259: $GPVTG,199.81,T,,M,2.000,N,3.704,K,A*37
261: $GPVTG,,T,,M,0.481,N,0.890,K,A*2F
263: $GPVTG,,T,,M,0.343,N,0.635,K,A*27
265: $GPVTG,,T,,M,0.565,N,1.046,K,A*26
267: $GPVTG,,T,,M,0.740,N,1.370,K,A*25
269: $GPVTG,,T,,M,0.590,N,1.092,K,A*25
271: $GPVTG,117.63,T,,M,1.374,N,2.545,K,A*38
273: $GPVTG,,T,,M,0.818,N,1.514,K,A*23
275: $GPVTG,,T,,M,0.106,N,0.196,K,A*2A
277: $GPVTG,,T,,M,0.119,N,0.221,K,A*2B
279: $GPVTG,79.69,T,,M,2.199,N,4.072,K,A*0E
281: $GPVTG,,T,,M,1.474,N,2.729,K,A*2B
283: $GPVTG,,T,,M,1.247,N,2.310,K,A*23
285: $GPVTG,,T,,M,1.902,N,3.522,K,A*2F
287: $GPVTG,,T,,M,0.772,N,1.430,K,A*27
289: $GPVTG,,T,,M,0.445,N,0.825,K,A*29
291: $GPVTG,,T,,M,0.795,N,1.473,K,A*29
293: $GPVTG,161.92,T,,M,3.029,N,5.609,K,A*32
295: $GPVTG,,T,,M,1.658,N,3.071,K,A*2C
297: $GPVTG,,T,,M,0.338,N,0.627,K,A*28
299: $GPVTG,,T,,M,0.300,N,0.555,K,A*25
301: $GPVTG,,T,,M,0.268,N,0.496,K,A*24
303: $GPVTG,,T,,M,0.663,N,1.227,K,A*26
305: $GPVTG,,T,,M,1.193,N,2.209,K,A*20
307: $GPVTG,,T,,M,0.942,N,1.745,K,A*2B
309: $GPVTG,,T,,M,0.310,N,0.574,K,A*27
311: $GPVTG,,T,,M,1.015,N,1.880,K,A*27
313: $GPVTG,,T,,M,0.685,N,1.269,K,A*24
315: $GPVTG,,T,,M,0.186,N,0.345,K,A*2E
317: $GPVTG,,T,,M,0.724,N,1.341,K,A*25
319: $GPVTG,,T,,M,1.689,N,3.127,K,A*22
321: $GPVTG,,T,,M,1.034,N,1.914,K,A*28
323: $GPVTG,,T,,M,0.337,N,0.624,K,A*24
325: $GPVTG,,T,,M,0.356,N,0.660,K,A*23
327: $GPVTG,,T,,M,0.141,N,0.262,K,A*21
329: $GPVTG,,T,,M,0.482,N,0.893,K,A*2F
331: $GPVTG,,T,,M,0.263,N,0.487,K,A*2F
333: $GPVTG,,T,,M,0.848,N,1.570,K,A*24
335: $GPVTG,,T,,M,0.471,N,0.872,K,A*2C
337: $GPVTG,,T,,M,1.607,N,2.976,K,A*29
339: $GPVTG,,T,,M,1.012,N,1.874,K,A*2B
